ints-1.datNo of Integers:: 	29	 Time taken::: 	8.797645568847656e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.440960168838501	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	8.511543273925781e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.4311981201171875	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.03598213195800781	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	6.264209985733032	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	5.412101745605469e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.438126802444458	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.03625202178955078	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	5.924904823303223	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	5.3882598876953125e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.4362070560455322	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.0350189208984375	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	6.00291109085083	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	5.3882598876953125e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.4477550983428955	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.03515291213989258	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	5.896294116973877	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	5.412101745605469e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.43010711669921875	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.033123016357421875	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	5.870151996612549	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	5.888938903808594e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.449268102645874	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.03639388084411621	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	5.948486804962158	seconds	
sorted_ints-1.datNo of Integers:: 	29	 Time taken::: 	0.00017499923706054688	seconds	
100.datNo of Integers:: 	101	 Time taken::: 	0.0022330284118652344	seconds	
ints-1.datNo of Integers:: 	29	 Time taken::: 	8.511543273925781e-05	seconds	
ints-100k.datNo of Integers:: 	100000	 Time taken::: 	0.43276000022888184	seconds	
ints-10k.datNo of Integers:: 	10000	 Time taken::: 	0.03349900245666504	seconds	
ints-1m.datNo of Integers:: 	1000000	 Time taken::: 	5.894345045089722	seconds	
